date,England_positivity
2020/4/29,12.2
2020/4/30,10.2
2020/5/1,8.8
2020/5/2,8.2
2020/5/3,7.7
2020/5/4,7.3
2020/5/5,6.9
2020/5/6,6.6
2020/5/7,6.5
2020/5/8,6.4
2020/5/9,6.4
2020/5/10,6.3
2020/5/11,6.1
2020/5/12,5.8
2020/5/13,5.5
2020/5/14,5.3
2020/5/15,5.1
2020/5/16,4.9
2020/5/17,4.7
2020/5/18,4.5
2020/5/19,4.4
2020/5/20,4.2
2020/5/21,4.2
2020/5/22,4.1
2020/5/23,4
2020/5/24,4
2020/5/25,3.9
2020/5/26,3.8
2020/5/27,3.7
2020/5/28,3.5
2020/5/29,3.3
2020/5/30,3.3
2020/5/31,3.2
2020/6/1,3.1
2020/6/2,2.9
2020/6/3,2.8
2020/6/4,2.6
2020/6/5,2.5
2020/6/6,2.4
2020/6/7,2.3
2020/6/8,2.2
2020/6/9,2.1
2020/6/10,2
2020/6/11,2
2020/6/12,2
2020/6/13,2
2020/6/14,2
2020/6/15,2
2020/6/16,2.1
2020/6/17,2.1
2020/6/18,2.1
2020/6/19,2.1
2020/6/20,2.1
2020/6/21,2
2020/6/22,2
2020/6/23,1.9
2020/6/24,1.9
2020/6/25,1.8
2020/6/26,1.7
2020/6/27,1.7
2020/6/28,1.6
2020/6/29,1.5
2020/6/30,1.4
2020/7/1,1.3
2020/7/2,1.2
2020/7/3,1.2
2020/7/4,1.1
2020/7/5,1.1
2020/7/6,1.1
2020/7/7,1.1
2020/7/8,1.1
2020/7/9,1
2020/7/10,1
2020/7/11,1
2020/7/12,1
2020/7/13,0.9
2020/7/14,0.9
2020/7/15,0.9
2020/7/16,0.9
2020/7/17,0.9
2020/7/18,0.8
2020/7/19,0.8
2020/7/20,0.9
2020/7/21,0.9
2020/7/22,0.9
2020/7/23,0.9
2020/7/24,1
2020/7/25,1
2020/7/26,1
2020/7/27,1
2020/7/28,0.9
2020/7/29,1
2020/7/30,0.9
2020/7/31,0.9
2020/8/1,0.9
2020/8/2,0.9
2020/8/3,0.9
2020/8/4,0.9
2020/8/5,0.9
2020/8/6,0.9
2020/8/7,0.9
2020/8/8,0.9
2020/8/9,0.9
2020/8/10,1
2020/8/11,1
2020/8/12,1
2020/8/13,1
2020/8/14,1
2020/8/15,1
2020/8/16,1
2020/8/17,1
2020/8/18,0.9
2020/8/19,0.9
2020/8/20,0.9
2020/8/21,0.9
2020/8/22,0.9
2020/8/23,0.9
2020/8/24,0.9
2020/8/25,0.9
2020/8/26,0.9
2020/8/27,0.9
2020/8/28,1
2020/8/29,1
2020/8/30,1
2020/8/31,1.1
2020/9/1,1.2
2020/9/2,1.3
2020/9/3,1.4
2020/9/4,1.5
2020/9/5,1.6
2020/9/6,1.7
2020/9/7,1.7
2020/9/8,1.8
2020/9/9,1.8
2020/9/10,1.8
2020/9/11,1.8
2020/9/12,1.8
2020/9/13,1.7
2020/9/14,1.7
2020/9/15,1.7
2020/9/16,1.8
2020/9/17,1.8
2020/9/18,2
2020/9/19,2.1
2020/9/20,2.3
2020/9/21,2.5
2020/9/22,2.7
2020/9/23,2.8
2020/9/24,3
2020/9/25,3.1
2020/9/26,3.2
2020/9/27,3.4
2020/9/28,3.7
2020/9/29,4
2020/9/30,4.3
2020/10/1,4.7
2020/10/2,5
2020/10/3,5.2
2020/10/4,5.5
2020/10/5,5.8
2020/10/6,6.1
2020/10/7,6.3
2020/10/8,6.5
2020/10/9,6.5
2020/10/10,6.6
2020/10/11,6.7
2020/10/12,6.9
2020/10/13,7
2020/10/14,7.1
2020/10/15,7.2
2020/10/16,7.2
2020/10/17,7.3
2020/10/18,7.4
2020/10/19,7.8
2020/10/20,8.1
2020/10/21,8.3
2020/10/22,8.5
2020/10/23,8.6
2020/10/24,8.7
2020/10/25,8.8
2020/10/26,9
2020/10/27,9.2
2020/10/28,9.3
2020/10/29,9.2
2020/10/30,9.2
2020/10/31,9.2
2020/11/1,9.2
